('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         455445 function calls (440261 primitive calls) in 1.553 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      174    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
  174/143    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
  170/169    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      163    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      160    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
      160    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
      159    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      156    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      152    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      151    0.000    0.000    0.001    0.000 enum.py:986(__and__)
      151    0.001    0.000    0.005    0.000 sre_compile.py:560(_compile_info)
      151    0.000    0.000    0.032    0.000 sre_compile.py:622(_code)
      151    0.001    0.000    0.087    0.001 sre_compile.py:783(compile)
      151    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
      151    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      151    0.000    0.000    0.054    0.000 sre_parse.py:944(parse)
      151    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      144    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
      144    0.000    0.000    0.000    0.000 os.py:697(__iter__)
      144    0.000    0.000    0.000    0.000 os.py:754(encode)
      144    0.000    0.000    0.000    0.000 _collections_abc.py:904(__iter__)
      143    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      140    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      137    0.003    0.000    0.263    0.002 {method 'read' of '_io.BufferedReader' objects}
